# Out-of-sample ladder: Calgary corpus (18 files), LZ4HC-9 literals, PH, M4, reps=7
# 372KB total lits; files 2.9-66KB; extractor identical to the Silesia pipeline.
# Nudge/auto/exact design frozen from Silesia tuning — nothing adjusted for Calgary.
# (bench gained inner-loop timing so tiny files span >= ~8MB per timed region)

LADDER G=4K reps=7 fse=0 (PH)
file            cfg    ratio   enc-e2e   dec-e2e     enc-k     dec-k build u/w   adopted
paper3.lits     off   0.6847       839      7038      3514      9138       6.0         -
paper3.lits   nudge   0.6847       840      6832      3531      8877       6.0       0/1
paper3.lits    auto   0.6811       405      9643      4886     12711      15.0       1/1
paper3.lits   exact   0.6811       225      9621      4830     12692      28.0       1/1
paper4.lits     off   0.7135       644      5681      3438      8434       4.0         -
paper4.lits   nudge   0.7135       535      5724      3435      8434       5.0       0/1
paper4.lits    auto   0.7100       292      6475      3730      9758      10.0       1/1
paper4.lits   exact   0.7100       168      6505      3713      9978      18.0       1/1
paper5.lits     off   0.7579       698      4276      2463      6205       3.0         -
paper5.lits   nudge   0.7503       506      5924      3777      8431       5.0       1/1
paper5.lits    auto   0.7459       250      6355      4180     10035      11.0       1/1
paper5.lits   exact   0.7456       129      6684      4748     10755      22.0       1/1
paper6.lits     off   0.7405       841      6010      3466      7976       5.0         -
paper6.lits   nudge   0.7405       646      6019      3470      7871       7.0       0/1
paper6.lits    auto   0.7410       421      8341      4672     11654      12.0       1/1
paper6.lits   exact   0.7407       240      8677      4784     12231      22.0       1/1
pic.lits        off   0.7186       725      6458      3543      8296       8.7         -
pic.lits      nudge   0.7164       708      8096      4507     10601       9.5       3/4
pic.lits       auto   0.7171       460      9186      5018     12420      15.8       4/4
pic.lits      exact   0.7161       179      9639      5385     13390      43.0       4/4
progc.lits      off   0.7586       872      6650      3916      8834       5.0         -
progc.lits    nudge   0.7620       672      7866      4171     10361       7.0       1/1
progc.lits     auto   0.7583       461      9192      4818     12288      11.0       1/1
progc.lits    exact   0.7583       206      8367      4696     11689      26.0       1/1
progl.lits      off   0.7241       679      5359      3176      7046       6.0         -
progl.lits    nudge   0.7172       638      7992      4634     11013       7.0       1/1
progl.lits     auto   0.7187       393      8235      4375     11264      12.0       1/1
progl.lits    exact   0.7183       225      8956      4876     12734      22.0       1/1
progp.lits      off   0.7635       693      5441      3558      7599       5.0         -
progp.lits    nudge   0.7635       521      5385      3423      7385       7.0       0/1
progp.lits     auto   0.7581       332      7641      4554     10995      12.0       1/1
progp.lits    exact   0.7600       144      7405      4547     11053      29.0       1/1
trans.lits      off   0.7588       945      6733      3717      8223       6.0         -
trans.lits    nudge   0.7584       770      7483      4066      9288       8.0       1/1
trans.lits     auto   0.7586       565     10128      5212     13222      12.0       1/1
trans.lits    exact   0.7584       243     10353      5684     13498      30.0       1/1
