Reading package lists...
No VM guests are running outdated hypervisor (qemu) binaries on this host.
19
19
-- Build files have been written to: /home/ubuntu/main/build
[100%] Built target pivco_huffman_tests
main built OK
-- Build files have been written to: /home/ubuntu/tip/build
[100%] Built target pivco_huffman_tests
tip built OK
-- Build files have been written to: /home/ubuntu/main-ni/build
[100%] Built target pivco_huffman_tests
main-ni built OK
-- Build files have been written to: /home/ubuntu/tip-ni/build
[100%] Built target pivco_huffman_tests
tip-ni built OK
tip-ni tests: === ALL PASSED (0 failures) ===
== dec main r1 ==
DECODE M/s    | pivco_s pivco_n pivco_bu | trad_4s | huf0_x1 huf0_x2 |   ratio
english       |      93   10636   10708 |     855 |    1118    1808 |  5.92x
html_wiki     |     107    5716    5750 |     832 |    1111    1502 |  3.83x
prose_pride   |      71    7823    7840 |     841 |    1113    1689 |  4.64x
image_jpeg    |     114    9230    9172 |     848 |       0       0 | 10.89x
json_api      |     124    7189    7208 |     838 |    1115    1560 |  4.62x
dna_fasta     |     117    6765    6782 |     853 |    1122    1864 |  3.64x
chinese_text  |      83    6146    6214 |     835 |    1110    1501 |  4.14x
calgary_pic   |     377    4343    4356 |     845 |    1107    1624 |  2.68x

== dec tip-ni r3 ==
DECODE M/s    | pivco_s pivco_n pivco_bu | trad_4s | huf0_x1 huf0_x2 |   ratio
--------------|-------------------------|---------|------------------|--------
proba80       |     270    4709    4768 |     873 |    1125    1871 |  2.55x
english       |      95   10467   10566 |     857 |    1118    1810 |  5.84x
html_wiki     |     109    5662    5713 |     843 |    1111    1502 |  3.80x
prose_pride   |      71    7646    7674 |     845 |    1113    1694 |  4.53x
image_jpeg    |     116    9184    9159 |     850 |       0       0 | 10.81x
json_api      |     129    7061    7089 |     843 |    1115    1561 |  4.54x
dna_fasta     |     115    6763    6775 |     859 |    1122    1865 |  3.63x
chinese_text  |      84    6150    6153 |     840 |    1110    1502 |  4.10x
calgary_pic   |     375    4216    4234 |     848 |    1108    1627 |  2.60x

=== NOINLINE DONE ===
